seed,input_kichwa,referencia_es,prediccion_es
123,"Allita nishpaka, ñukanchik tukuchikrinakunchik.",Di mejor: lo vamos a acabar.,"En ese momento, tenemos que ayudarnos."
123,Paywanmi kay alcaldíataka mishakrinchik ninmi.,"Con él ganamos la Alcaldía, así dicen.",En el alcalda no sabemos nada.
123,"Ari, chaytami rurakrini.","Sí, eso voy a hacer.","S, esto es lo que voy a hacer."
123,Ñukaka ima mapa llamkaykunapi kankita yachanimi.,Yo sé en la porquería en que andas metido.,Yo no sé cómo estoy en el pas.
123,Kikinkunaka Pablopa nikushkakunata katipaychik.,Usted siga a San Pablo.,Y todos han hecho Pablo.
123,"Pandemiatapash yalli, tayta Dios ninanta tamyata kachamushkatapash yallimi.","Una emergencia más peligrosa que la pandemia, peor que la inundación que Dios nos envió en estos días.","En la pandemia, en el mundo de Dios."
123,Nima kullkitapish na hapinakunchik.,Sin cobrar nada.,No tienen ningn trabajo.
123,"Chay shukpa rinki, chay shukpa.",En otra te toca.,Cómo se llama el ro?
123,"Chawpi kikinpa, chawpi ñukanchikpa.","Mitad para usted, mitad para nosotros.",Eso es lo que voy a hacer.
123,"Alcaldesa Magdalena Ayalapash imashamanta paykunawan kashkataka mana yuyaypi hapirkachu, ñapash mana alli rimaykuna kallarirka.","No pueden creer que la alcaldesa Magdalena Ayala se haya sumado a este grupo de cabezas calientes, como ellos nos tildan.","La Alcaldesa Magdalena Ayalapa no tiene ningn trabajo, pero no lo han tenido."
123,"Ña yachanchikmi, maypipash tiyanmi mana ñukanchikta crikkuna.","Como sabe, siempre hay algunos desconfiados.","Y yo sabemos, pero no tenemos criativos."
123,Ñukanchikpa kullkitachu mana munankichik?,¿No quieren nuestro dinero?,Quiénes no sabemos?
123,Shuk kalluka rurashallami ninkapak.,Una para prometer.,Eso es lo que quiero decir.
123,"Eh, mejor tukuy Matria Libre partidomantakunami chayamurkakuna.","Bueno, todo el grupo del partido Matria Libre.","Eh, mejor es que los partidos de la Matria Libre."
123,"Kay pandemia pachakunapi, mikunakunata charina, tarpuna ninan mutsurishkami.","En estos tiempos de pandemia, la seguridad alimentaria es fundamental.","Estas pandemias, las mujeres y el mundo, tienen que ayudarse."
123,"Hacienda allpakunata charikkunaman yuyachini, manarak españolkuna shamukpika kay allpakunapika tawka runakunami kawsarkanchik, mana chushakllachu karka.","A esos nariz alzada les vamos a recordar que cuando los españoles llegaron, estas tierras no estaban vacías, tenían gente, tenían dueño.","Hacienda es una ciudad muy rápida, sino que los espaoles no tienen ningn trabajo en la escuela."
123,Contactokunata charini.,Tengo los contactos.,Esas contactos tienen.
123,"Hakuchik, ñukawan, hakuchik.","Vamos conmigo, vamos.","S, yo, seora."
123,Imatak nikunki?,¿Cómo dice?,Qué dices?
123,Yakukuna urayakushpa rishkami.,Las aguas han ido bajando.,La gente está en el ro.
123,"Tukuykunapa kashka covid pruebakunata shuwashpa, katushka nishpami huchachikrinchik.",De sustraer y vender pruebas covid que son un bien público.,"En el Barrio del Pueblo, las pruebas de covid se han encuentrado a la gente."
123,Ñukanchik ayllu llaktapi shuk tapuykunata rurarkanchik.,"Le cuento que hicimos una consulta, un concurso entre los vecinos y vecinas.",En el Barrio del Pueblo.
123,mapatak radiota charinki yari?,¿para qué tienes la radio?,Cuál es la radio?
123,Maypitak nirka?,¿Dónde lo dijo?,Qué dices?
123,"Ñuka shuklla churi payka, mana mamataka riksiy usharkachu.","Él es mi único hijo, que no pudo conocer a su madre.",Y yo no tengo ninguna máma.
123,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
123,Llamkana pankata mana charishpaka yankalla uyachik antami kanka.,Pero si no tiene licencia es una radio pirata.,Pero eso no sabemos que hay nios en la escuela.
123,Ama wakchalla kankapakmi vacunata munani.,Yo quiero vacunarme contra la soledad.,No hay vacunas en el ro.
123,"Willani, kaynani puncha wasiman rikushpa, chawpi punchapi mercado esquinapika chayta yallikukpika shina niwarka.","Les cuento que el otro día, camino a mi casa, a media mañana, pasé por la esquina del mercado.","Willani, ese da ya está trabajando en la mercado del sombrero, pero también tiene que llevarla a las escuelas."
123,Kutinbash kutinbash waktay tukushka kanchik.,"Tras cuernos, palos.",Y esos amigos están trabajando en la escuela.
123,Pandemia tiyashka pachakunapika chay kullkiwan kawsayta ushanchik mari..,Durante toda la pandemia podemos vivir con eso dinero.,La pandemia está en el ámbito de las emisoras del mundo.
123,Ñuka razonta charinkapakka mana munanichu.,Yo no quiero tener razón.,Yo no tengo razona.
123,Chaytachu kankunaka munankichik.,Eso pretenden ustedes.,Eso es lo que voy a hacer.
123,Llamkashpallami suerteta charinchik.,El trabajo es lo que da la suerte.,En el Barrio del Pueblo.
123,Chaymantami utka llukchina rikurirka.,Y hubo que operar de emergencia.,Eso es una buena ayuda.
123,"Ari mashi, imapitak yanapasha?","Sí, señora, ¿en qué puedo ayudarla?","S, seora?"
123,Sumak kawsay uyachik antamantaka shuk uyachik antamanmi kallpashpa rirka.,"De la radio Buen Vivir fueron derechitos a la otra radio del pueblo, la comercial.",Eso es una emisora de agua que tenemos en todos los pases.
123,Chaykunawan hampirishpa alli tukushkanchik.,Con eso nos hemos ido aliviando.,Esos amigos están en el ro.
123,"Wichashpa sakishpaka, imatatak tarishun?","Si la meto en cana, ¿qué ganamos con eso?",Cómo se llama?
123,Chay maymantachari wamprakuna mañawarka.,Me obligaron esos jóvenes que ni sé de dónde son.,Esos wamprakes están en el barrio.
123,"Imamantatak kapanyari, alcaldesa?","¿Cuál, alcaldesa?","Qué pasa, alcaldesa?"
123,Trescientos mil millones dólares kullkikuna watapi yaykun.,"En número redondos, trescientos mil millones de dólares al año.",Tenemos trescientos mil millones de dólares.
123,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
123,"Shinami, kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun, yanapayta mañankapak.","Y ahí van, saltando charcos, entrando en la alcaldía para solicitar ayuda en medio de tanta inundación.","Pero, en ese pas, las alcaldas ya están trabajando."
123,Kunanka kay kirumanta urmashkapash.,"Y ahora, éste que se cayó de la mata.",Y ahora está en el ro.
123,Shina alli kashkamanta tayta Dioska achkata tikrachinkami.,Dios les premiará tanta generosidad.,Eso es lo que Dios tiene en la escuela.
123,Kunanka productokuna puchunakun.,"Y ahora, hasta nos están sobrando productos.",En el Barrio del Pueblo.
123,"Kikinka frecuenciata maskapay, ñukaka tantanakuymanta wamprakunawan rimakrini, uchalla kallarinkapak.","Usted, consíganos la frecuencia y yo voy a hablar con los jóvenes del club para ponernos las pilas.","Seor frecuencito, yo sabemos que esos wamprakas están a través de la escuela."
123,Ñuka mana chay fantasíakunapi krinichu.,Yo no creo en esas fantasías,Yo no tengo esos fantasas.
123,Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna.,Las bandas criminales son hoy más fuertes que nunca y controlan países enteros.,"En el Barrio del Japón, los criminales y los nios se han enfrentado a los mamás de la escuela."
123,"Ari, yupaychani.","Sí, gracias.","S, seora."
123,Sexualidadmanta yachachikka ayllukunapa responsabilidadmi kana.,La educación sexual es responsabilidad exclusiva de las familias.,Eso es la responsabilidad de la sexualidad.
123,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
123,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
123,"Imashinatak kay gobierno hampikkunapak, yachaykunapak kullkita anchuchikrin, programa socialkunata anchuchikrin, preciokunata hawaman churakrin, salariokunatapash urayachikrin, tukuykunata llamkay illak sakirikrin, jubiladokunapak pensiónkunata ashayachikrin, llamkaykunata llukshichikrin, tukuyta privatizakrin?","¿Cómo crees que gobierno puede recortar el presupuesto de salud y el de educación, quitar programas sociales, subir los precios y bajar los salarios, desemplear a medio mundo, bajar las pensiones de los jubilados, exprimir como limones a los trabajadores, privatizarlo todo?","En las guerras del gobierno, en los programas sociales, los precios están trabajando y la gente se llama el salario."
123,Chaytaka rikukrinkichikmi.,Prepáranse.,Eso es lo que voy a hacer.
123,Shuk carta ashtawan llakichishun nishpa chayamushka.,Llegó una segunda carta más amenazante que la primera.,Esa carta es una de las emisoras del mundo.
123,Municipio ukumanta hampikunamanta willachinkapakka kay uyachik anta ukuman shamupaychiklla.,La radio Buen Vivir se pone al servicio de la salud de todo el municipio.,"En el municipio, las emisoras se han ayudado en todos los pases."
123,Imamantatak kay coronavirus nishkaka tiyan yankichikta?,"¿No vieron el bicho éste, el coronavirus?",Y cuál es la coronavirus?
123,Yuyankapak churawashkanki.,Me ha puesto a pensar.,Eso es lo que voy a hacer.
123,"Patentes, transgénicos wakllichiykuna",Entre patentes y transgénicos,"Patentes, transgénicos"
123,Mana entendenichu.,No le entiendo.,No entenden.
123,Kanka allipacha!,¡Eres muy bien!,Cómo estás?
123,"Yarkaymanta wipala, kasi kawsaymanta wipala.","Banderas de hambre, banderas de paz.",Eso es lo que llamamos y otra vez.
