input_kichwa,referencia_es,prediccion_es
Contactokunata charini.,Tengo los contactos.,¿Cómo están ustedes?
"Hakuchik, ñukawan, hakuchik.","Vamos conmigo, vamos.",¿Y qué dices?
Imatak nikunki?,¿Cómo dice?,¿Y qué dices?
Yakukuna urayakushpa rishkami.,Las aguas han ido bajando.,¿Y qué dicen?
"Tukuykunapa kashka covid pruebakunata shuwashpa, katushka nishpami huchachikrinchik.",De sustraer y vender pruebas covid que son un bien público.,¿Y qué dicen?
Ñukanchik ayllu llaktapi shuk tapuykunata rurarkanchik.,"Le cuento que hicimos una consulta, un concurso entre los vecinos y vecinas.",¿Y qué dicen?
mapatak radiota charinki yari?,¿para qué tienes la radio?,En el Barrio del Jabonero
Maypitak nirka?,¿Dónde lo dijo?,¿Y qué dices?
"Ñuka shuklla churi payka, mana mamataka riksiy usharkachu.","Él es mi único hijo, que no pudo conocer a su madre.",¿Y qué dices?
Pandemiamanta rimaykuna,Historias de la pandemia,¿Y qué hacer?
Llamkana pankata mana charishpaka yankalla uyachik antami kanka.,Pero si no tiene licencia es una radio pirata.,¿Y qué dices?
Ama wakchalla kankapakmi vacunata munani.,Yo quiero vacunarme contra la soledad.,Las vacunas pueden ser de la misma manera.
"Willani, kaynani puncha wasiman rikushpa, chawpi punchapi mercado esquinapika chayta yallikukpika shina niwarka.","Les cuento que el otro día, camino a mi casa, a media mañana, pasé por la esquina del mercado.",¿Y qué quiere decir?
Kutinbash kutinbash waktay tukushka kanchik.,"Tras cuernos, palos.",¿Y qué dicen?
Pandemia tiyashka pachakunapika chay kullkiwan kawsayta ushanchik mari..,Durante toda la pandemia podemos vivir con eso dinero.,Los niños y niñas de la pandemia.
Ñuka razonta charinkapakka mana munanichu.,Yo no quiero tener razón.,¿Y qué dicen?
Chaytachu kankunaka munankichik.,Eso pretenden ustedes.,¿Y qué es eso?
Llamkashpallami suerteta charinchik.,El trabajo es lo que da la suerte.,¿Y qué dicen?
Chaymantami utka llukchina rikurirka.,Y hubo que operar de emergencia.,¿Y qué dicen?
"Ari mashi, imapitak yanapasha?","Sí, señora, ¿en qué puedo ayudarla?",¿Y qué dices?
Sumak kawsay uyachik antamantaka shuk uyachik antamanmi kallpashpa rirka.,"De la radio Buen Vivir fueron derechitos a la otra radio del pueblo, la comercial.",¿Y qué dicen?
Chaykunawan hampirishpa alli tukushkanchik.,Con eso nos hemos ido aliviando.,¿Y qué es eso?
"Wichashpa sakishpaka, imatatak tarishun?","Si la meto en cana, ¿qué ganamos con eso?",¿Y qué dicen?
Chay maymantachari wamprakuna mañawarka.,Me obligaron esos jóvenes que ni sé de dónde son.,¿Y qué dices?
"Imamantatak kapanyari, alcaldesa?","¿Cuál, alcaldesa?","Pero, alcaldesa?"
Trescientos mil millones dólares kullkikuna watapi yaykun.,"En número redondos, trescientos mil millones de dólares al año.",¿Y qué dicen?
Pandemiamanta rimaykuna,Historias de la pandemia,¿Y qué hacer?
"Shinami, kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun, yanapayta mañankapak.","Y ahí van, saltando charcos, entrando en la alcaldía para solicitar ayuda en medio de tanta inundación.","Las alcaldesa de la Alcaldía, que están en el municipio."
Kunanka kay kirumanta urmashkapash.,"Y ahora, éste que se cayó de la mata.",¿Y qué dicen?
Shina alli kashkamanta tayta Dioska achkata tikrachinkami.,Dios les premiará tanta generosidad.,¿Y qué dicen?
Kunanka productokuna puchunakun.,"Y ahora, hasta nos están sobrando productos.",¿Y qué es eso?
"Kikinka frecuenciata maskapay, ñukaka tantanakuymanta wamprakunawan rimakrini, uchalla kallarinkapak.","Usted, consíganos la frecuencia y yo voy a hablar con los jóvenes del club para ponernos las pilas.",¿Y qué dicen?
Ñuka mana chay fantasíakunapi krinichu.,Yo no creo en esas fantasías,¿Y qué es eso?
Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna.,Las bandas criminales son hoy más fuertes que nunca y controlan países enteros.,Los criminales de la policía y los policías se han puesto a la banda criminal.
"Ari, yupaychani.","Sí, gracias.",¿Y qué dices?
Sexualidadmanta yachachikka ayllukunapa responsabilidadmi kana.,La educación sexual es responsabilidad exclusiva de las familias.,Eso es responsabilidad de la sexualidad.
Pandemiamanta rimaykuna,Historias de la pandemia,¿Y qué hacer?
Pandemiamanta rimaykuna,Historias de la pandemia,¿Y qué hacer?
"Imashinatak kay gobierno hampikkunapak, yachaykunapak kullkita anchuchikrin, programa socialkunata anchuchikrin, preciokunata hawaman churakrin, salariokunatapash urayachikrin, tukuykunata llamkay illak sakirikrin, jubiladokunapak pensiónkunata ashayachikrin, llamkaykunata llukshichikrin, tukuyta privatizakrin?","¿Cómo crees que gobierno puede recortar el presupuesto de salud y el de educación, quitar programas sociales, subir los precios y bajar los salarios, desemplear a medio mundo, bajar las pensiones de los jubilados, exprimir como limones a los trabajadores, privatizarlo todo?","Los jubilados y jubilado de la comunidad, a la familia, al gobierno."
Chaytaka rikukrinkichikmi.,Prepáranse.,¿Y qué dices?
Shuk carta ashtawan llakichishun nishpa chayamushka.,Llegó una segunda carta más amenazante que la primera.,¿Y qué es eso?
Municipio ukumanta hampikunamanta willachinkapakka kay uyachik anta ukuman shamupaychiklla.,La radio Buen Vivir se pone al servicio de la salud de todo el municipio.,¿Y qué hacen los alcaldes?
Imamantatak kay coronavirus nishkaka tiyan yankichikta?,"¿No vieron el bicho éste, el coronavirus?",¿Y qué pasa con coronavirus?
Yuyankapak churawashkanki.,Me ha puesto a pensar.,¿Y qué dices?
"Patentes, transgénicos wakllichiykuna",Entre patentes y transgénicos,Las patentes transcosos se han convertido en patente.
Mana entendenichu.,No le entiendo.,¿Y qué es eso?
Kanka allipacha!,¡Eres muy bien!,¿Y qué es eso?
"Yarkaymanta wipala, kasi kawsaymanta wipala.","Banderas de hambre, banderas de paz.",¿Y qué hacen ustedes?
