input_kichwa,referencia_es,prediccion_es
Ñami ñami bonokunata kunakunchik pandemiamanta wichashka uchilla comersiantekunaman.,Ya estamos dando bonos a los pequeños comercios que han cerrado por la pandemia.,ami aami bonokunata kunakunchik pandemiamant wichashka uchilla comersiantekunaman
"Allika yanapariykuna, mushuk proyectokunata llukchinkapak yuyaykuna, tantanakushpa llamkaykuna.","Lo mejor: la solidaridad, la imaginación para emprender proyectos nuevos, negocios cooperativos.",A mushuk project is a project that aims to create an environment where people can interact with each other.
Waktashkakunata rikuchiway.,Enseñe los golpes.,Tämä ei ole käytännössä.
"Yuyariychik, ima shinatak waminsi wasipika yallishkata.",Acuérdense de lo que pasó en la casa rosada.,"Yuyariychik, isa shinatak waminsi wasipika yallishkata."
"Allita nishpaka, ñukanchik tukuchikrinakunchik.",Di mejor: lo vamos a acabar.,"Allita's son, ukanchik tukuchikrinakunchi."
Paywanmi kay alcaldíataka mishakrinchik ninmi.,"Con él ganamos la Alcaldía, así dicen.",nsan kay alcaldataka mishakrinchikninmi.
"Ari, chaytami rurakrini.","Sí, eso voy a hacer.","Ari, chaytami rurakrini."
Ñukaka ima mapa llamkaykunapi kankita yachanimi.,Yo sé en la porquería en que andas metido.,ukaka is a map of llamkaykunapi kanki yachanimi.
Kikinkunaka Pablopa nikushkakunata katipaychik.,Usted siga a San Pablo.,A katipaychik is a person who eats food.
"Pandemiatapash yalli, tayta Dios ninanta tamyata kachamushkatapash yallimi.","Una emergencia más peligrosa que la pandemia, peor que la inundación que Dios nos envió en estos días.","Pandemiatapash yalli, tayyi Dios ninanta saman kachamushkapatash."
Nima kullkitapish na hapinakunchik.,Sin cobrar nada.,No kullkitapish na hapinakunchik.
"Chay shukpa rinki, chay shukpa.",En otra te toca.,Chay shukpa rinki.
"Chawpi kikinpa, chawpi ñukanchikpa.","Mitad para usted, mitad para nosotros.","Chawpi kikinpa, chawpe ukanchikpo."
"Alcaldesa Magdalena Ayalapash imashamanta paykunawan kashkataka mana yuyaypi hapirkachu, ñapash mana alli rimaykuna kallarirka.","No pueden creer que la alcaldesa Magdalena Ayala se haya sumado a este grupo de cabezas calientes, como ellos nos tildan.","Alcaldesa Magdalena Ayalapash imashamanta paykunawan kashkataka mana yusaypi hapirkachu, apash tahu ka larrika."
"Ña yachanchikmi, maypipash tiyanmi mana ñukanchikta crikkuna.","Como sabe, siempre hay algunos desconfiados.","a yachanchikmi, maypipash tiyanmi mana Ukanchikta Crikkuna."
Ñukanchikpa kullkitachu mana munankichik?,¿No quieren nuestro dinero?,ukanchikpa kullkitachu
Shuk kalluka rurashallami ninkapak.,Una para prometer.,The rurashallami ninkapak.
"Eh, mejor tukuy Matria Libre partidomantakunami chayamurkakuna.","Bueno, todo el grupo del partido Matria Libre.","Well, better support for Matria Libre parties."
"Kay pandemia pachakunapi, mikunakunata charina, tarpuna ninan mutsurishkami.","En estos tiempos de pandemia, la seguridad alimentaria es fundamental.","So the pandemia pachakunapi, mikunakunata charina, the mutsurishkami."
"Hacienda allpakunata charikkunaman yuyachini, manarak españolkuna shamukpika kay allpakunapika tawka runakunami kawsarkanchik, mana chushakllachu karka.","A esos nariz alzada les vamos a recordar que cuando los españoles llegaron, estas tierras no estaban vacías, tenían gente, tenían dueño.","Hacienda allpakunata charikkunaman yuyachini, manarak pakistan shamukpika tawka runakunami kawsarkanchik, ay chushakllachu karka."
Contactokunata charini.,Tengo los contactos.,Contactokunata charini.
"Hakuchik, ñukawan, hakuchik.","Vamos conmigo, vamos.","ukawan, hakuchik."
Imatak nikunki?,¿Cómo dice?,Imatak no?
Yakukuna urayakushpa rishkami.,Las aguas han ido bajando.,A urayakushpa rishkami.
"Tukuykunapa kashka covid pruebakunata shuwashpa, katushka nishpami huchachikrinchik.",De sustraer y vender pruebas covid que son un bien público.,Covid is a genus of fungi that has been isolated from the leaves of the covid plant.
Ñukanchik ayllu llaktapi shuk tapuykunata rurarkanchik.,"Le cuento que hicimos una consulta, un concurso entre los vecinos y vecinas.",ukanchik ayllu llaktapi shuk tapuykunata rurarkanch.
mapatak radiota charinki yari?,¿para qué tienes la radio?,saatak rahoja?
Maypitak nirka?,¿Dónde lo dijo?,Maypitak nirka
"Ñuka shuklla churi payka, mana mamataka riksiy usharkachu.","Él es mi único hijo, que no pudo conocer a su madre.","uka shuklla churi payka, mana mamataka riksiy usharkachu."
Pandemiamanta rimaykuna,Historias de la pandemia,Pandemiamanta rimaykuna
Llamkana pankata mana charishpaka yankalla uyachik antami kanka.,Pero si no tiene licencia es una radio pirata.,The llamkana pankata mana charishpaka is a kind of samsara.
Ama wakchalla kankapakmi vacunata munani.,Yo quiero vacunarme contra la soledad.,And there is no vaccine for malaria.
"Willani, kaynani puncha wasiman rikushpa, chawpi punchapi mercado esquinapika chayta yallikukpika shina niwarka.","Les cuento que el otro día, camino a mi casa, a media mañana, pasé por la esquina del mercado.","Willani, who is a thief, tries to rob the mercado esquinapika chayta in the market."
Kutinbash kutinbash waktay tukushka kanchik.,"Tras cuernos, palos.",A kutinbash is waktay tukushka kanchik.
Pandemia tiyashka pachakunapika chay kullkiwan kawsayta ushanchik mari..,Durante toda la pandemia podemos vivir con eso dinero.,Pandemia tiyashka pachakunapikan chay kullkiwan kawsayta ushanchik mari.
Ñuka razonta charinkapakka mana munanichu.,Yo no quiero tener razón.,ko razonta charinkapakka mana munanichu.
Chaytachu kankunaka munankichik.,Eso pretenden ustedes.,Chaytachu kankunaka munankichik.
Llamkashpallami suerteta charinchik.,El trabajo es lo que da la suerte.,Llamkashpallami suerteta charinchik.
Chaymantami utka llukchina rikurirka.,Y hubo que operar de emergencia.,Chaymantami utka llukchina rikurirka.
"Ari mashi, imapitak yanapasha?","Sí, señora, ¿en qué puedo ayudarla?","Arshi, imapitak yanapasha"
Sumak kawsay uyachik antamantaka shuk uyachik antamanmi kallpashpa rirka.,"De la radio Buen Vivir fueron derechitos a la otra radio del pueblo, la comercial.",Sumak kawsay uyachik antamantaka shuk ullpashpa rirka.
Chaykunawan hampirishpa alli tukushkanchik.,Con eso nos hemos ido aliviando.,Chaykunawan hampirishpa alli tukushkanchik.
"Wichashpa sakishpaka, imatatak tarishun?","Si la meto en cana, ¿qué ganamos con eso?",sakishpaka
Chay maymantachari wamprakuna mañawarka.,Me obligaron esos jóvenes que ni sé de dónde son.,Chay maymantachari wamprakuna maawarka.
"Imamantatak kapanyari, alcaldesa?","¿Cuál, alcaldesa?",Imamantatak kapanyari
Trescientos mil millones dólares kullkikuna watapi yaykun.,"En número redondos, trescientos mil millones de dólares al año.",Trescientos mil millones de dólares kullkikuna yapld.
Pandemiamanta rimaykuna,Historias de la pandemia,Pandemiamanta rimaykuna
"Shinami, kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun, yanapayta mañankapak.","Y ahí van, saltando charcos, entrando en la alcaldía para solicitar ayuda en medio de tanta inundación.","Shinami, kashna pacha tamyapi kuchakunata pewashpa rehiya alcaldaman rinak untuk salyor."
Kunanka kay kirumanta urmashkapash.,"Y ahora, éste que se cayó de la mata.",Then there was a reversal of course.
Shina alli kashkamanta tayta Dioska achkata tikrachinkami.,Dios les premiará tanta generosidad.,Shina alli kashkamanta saata Dioska achate tikrachinkami.
Kunanka productokuna puchunakun.,"Y ahora, hasta nos están sobrando productos.",The productokuna puchunakun.
"Kikinka frecuenciata maskapay, ñukaka tantanakuymanta wamprakunawan rimakrini, uchalla kallarinkapak.","Usted, consíganos la frecuencia y yo voy a hablar con los jóvenes del club para ponernos las pilas.","It's a shame that so many people are using masks to hide their true identity, but the fact is that there is no way to stop it."
Ñuka mana chay fantasíakunapi krinichu.,Yo no creo en esas fantasías,uka mana chay fantasakunapi krinichu.
Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna.,Las bandas criminales son hoy más fuertes que nunca y controlan países enteros.,Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykipi charinkuna.
"Ari, yupaychani.","Sí, gracias.","Ari, thank you."
Sexualidadmanta yachachikka ayllukunapa responsabilidadmi kana.,La educación sexual es responsabilidad exclusiva de las familias.,Sexuality manta ayllukunapa responsabilidadmi kana.
Pandemiamanta rimaykuna,Historias de la pandemia,Pandemiamanta rimaykuna
Pandemiamanta rimaykuna,Historias de la pandemia,Pandemiamanta rimaykuna
"Imashinatak kay gobierno hampikkunapak, yachaykunapak kullkita anchuchikrin, programa socialkunata anchuchikrin, preciokunata hawaman churakrin, salariokunatapash urayachikrin, tukuykunata llamkay illak sakirikrin, jubiladokunapak pensiónkunata ashayachikrin, llamkaykunata llukshichikrin, tukuyta privatizakrin?","¿Cómo crees que gobierno puede recortar el presupuesto de salud y el de educación, quitar programas sociales, subir los precios y bajar los salarios, desemplear a medio mundo, bajar las pensiones de los jubilados, exprimir como limones a los trabajadores, privatizarlo todo?","Imashinatak kay gobierno hampikkuna, yachaykunutapak kullkita anchuchikrin, programa socialkunata aksikrin, rate of hawaman churakri, salaryokunanatapash urayachikri"
Chaytaka rikukrinkichikmi.,Prepáranse.,Chaytaka rikukikmi.
Shuk carta ashtawan llakichishun nishpa chayamushka.,Llegó una segunda carta más amenazante que la primera.,The ashtawan lakichishun nishpa chayamushka.
Municipio ukumanta hampikunamanta willachinkapakka kay uyachik anta ukuman shamupaychiklla.,La radio Buen Vivir se pone al servicio de la salud de todo el municipio.,Municipio tai shamupaychiklla kutsuttuvat kohdaan niiden oikeuksien yhteydessä.
Imamantatak kay coronavirus nishkaka tiyan yankichikta?,"¿No vieron el bicho éste, el coronavirus?",coronavirus
Yuyankapak churawashkanki.,Me ha puesto a pensar.,I'm not a fan of churawashkanki.
"Patentes, transgénicos wakllichiykuna",Entre patentes y transgénicos,"Patentes, transgénicos wakllichiykuna"
Mana entendenichu.,No le entiendo.,Mana entendenichu.
Kanka allipacha!,¡Eres muy bien!,Kanka allipacha!
"Yarkaymanta wipala, kasi kawsaymanta wipala.","Banderas de hambre, banderas de paz.","There is a symphony orchestra, and there is an olympic orchestra."
