seed,input_kichwa,referencia_es,prediccion_es
2026,"Allika yanapariykuna, mushuk proyectokunata llukchinkapak yuyaykuna, tantanakushpa llamkaykuna.","Lo mejor: la solidaridad, la imaginación para emprender proyectos nuevos, negocios cooperativos.","En el Barrio del Pueblo, los proyectos y las comunidades se encuentran."
2026,Waktashkakunata rikuchiway.,Enseñe los golpes.,La gente está en el Barrio del Sol.
2026,"Yuyariychik, ima shinatak waminsi wasipika yallishkata.",Acuérdense de lo que pasó en la casa rosada.,"Y yo sé, ese nio está en la escuela."
2026,"Allita nishpaka, ñukanchik tukuchikrinakunchik.",Di mejor: lo vamos a acabar.,Por eso tenemos que hacer las cosas.
2026,Paywanmi kay alcaldíataka mishakrinchik ninmi.,"Con él ganamos la Alcaldía, así dicen.",Eso es lo que tenemos en la alcalda.
2026,"Ari, chaytami rurakrini.","Sí, eso voy a hacer.","S, esto es cierto."
2026,Ñukaka ima mapa llamkaykunapi kankita yachanimi.,Yo sé en la porquería en que andas metido.,Yo no tengo ninguna mapa de agua.
2026,Kikinkunaka Pablopa nikushkakunata katipaychik.,Usted siga a San Pablo.,"Y a m, Pablo es un amigo de la escuela."
2026,"Pandemiatapash yalli, tayta Dios ninanta tamyata kachamushkatapash yallimi.","Una emergencia más peligrosa que la pandemia, peor que la inundación que Dios nos envió en estos días.","En la pandemia, en el mundo de Dios."
2026,Nima kullkitapish na hapinakunchik.,Sin cobrar nada.,No tienen ninguna solución.
2026,"Chay shukpa rinki, chay shukpa.",En otra te toca.,"Esa es la rumba, s."
2026,"Chawpi kikinpa, chawpi ñukanchikpa.","Mitad para usted, mitad para nosotros.","S, s."
2026,"Alcaldesa Magdalena Ayalapash imashamanta paykunawan kashkataka mana yuyaypi hapirkachu, ñapash mana alli rimaykuna kallarirka.","No pueden creer que la alcaldesa Magdalena Ayala se haya sumado a este grupo de cabezas calientes, como ellos nos tildan.","La Alcaldesa Magdalena Ayalapa no tiene ninguna otra vez, pero eso no está pasando."
2026,"Ña yachanchikmi, maypipash tiyanmi mana ñukanchikta crikkuna.","Como sabe, siempre hay algunos desconfiados.","Y yo sabemos, pero no tenemos ninguna criación."
2026,Ñukanchikpa kullkitachu mana munankichik?,¿No quieren nuestro dinero?,Y qué no sabemos?
2026,Shuk kalluka rurashallami ninkapak.,Una para prometer.,Eso es lo que sabemos.
2026,"Eh, mejor tukuy Matria Libre partidomantakunami chayamurkakuna.","Bueno, todo el grupo del partido Matria Libre.","Eh, mejor que las partidas Matria Libre."
2026,"Kay pandemia pachakunapi, mikunakunata charina, tarpuna ninan mutsurishkami.","En estos tiempos de pandemia, la seguridad alimentaria es fundamental.","Esa pandemia es una de las nias, a la gente y todo."
2026,"Hacienda allpakunata charikkunaman yuyachini, manarak españolkuna shamukpika kay allpakunapika tawka runakunami kawsarkanchik, mana chushakllachu karka.","A esos nariz alzada les vamos a recordar que cuando los españoles llegaron, estas tierras no estaban vacías, tenían gente, tenían dueño.","Hacienda es una ciudad en la tierra del árbol, pero no tienen ningn espaol para llegar a las escuelas."
2026,Contactokunata charini.,Tengo los contactos.,En el Barrio del Contacto.
2026,"Hakuchik, ñukawan, hakuchik.","Vamos conmigo, vamos.","S, yo, seora."
2026,Imatak nikunki?,¿Cómo dice?,Qué dices?
2026,Yakukuna urayakushpa rishkami.,Las aguas han ido bajando.,Esos amigos están trabajando.
2026,"Tukuykunapa kashka covid pruebakunata shuwashpa, katushka nishpami huchachikrinchik.",De sustraer y vender pruebas covid que son un bien público.,"En el Barrio del Pueblo, las pruebas de covid se encuentran a través de la escuela."
2026,Ñukanchik ayllu llaktapi shuk tapuykunata rurarkanchik.,"Le cuento que hicimos una consulta, un concurso entre los vecinos y vecinas.",En el Barrio del Pueblo y en la escuela.
2026,mapatak radiota charinki yari?,¿para qué tienes la radio?,Cuál es la radio?
2026,Maypitak nirka?,¿Dónde lo dijo?,Qué dices?
2026,"Ñuka shuklla churi payka, mana mamataka riksiy usharkachu.","Él es mi único hijo, que no pudo conocer a su madre.",Y yo no tengo ninguna trabajo en la escuela.
2026,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
2026,Llamkana pankata mana charishpaka yankalla uyachik antami kanka.,Pero si no tiene licencia es una radio pirata.,La gente no tiene ninguna otra cosa.
2026,Ama wakchalla kankapakmi vacunata munani.,Yo quiero vacunarme contra la soledad.,No tenemos vacunas para nios.
2026,"Willani, kaynani puncha wasiman rikushpa, chawpi punchapi mercado esquinapika chayta yallikukpika shina niwarka.","Les cuento que el otro día, camino a mi casa, a media mañana, pasé por la esquina del mercado.","Willani, ya sabemos que el mercado está trabajando en la escuela."
2026,Kutinbash kutinbash waktay tukushka kanchik.,"Tras cuernos, palos.",Y esos amigos están en la escuela.
2026,Pandemia tiyashka pachakunapika chay kullkiwan kawsayta ushanchik mari..,Durante toda la pandemia podemos vivir con eso dinero.,La pandemia está en el árbol de la escuela.
2026,Ñuka razonta charinkapakka mana munanichu.,Yo no quiero tener razón.,Mi razonta no tiene nada.
2026,Chaytachu kankunaka munankichik.,Eso pretenden ustedes.,Eso es lo que voy a hacer.
2026,Llamkashpallami suerteta charinchik.,El trabajo es lo que da la suerte.,En el Barrio del Pueblo se llama suerteta.
2026,Chaymantami utka llukchina rikurirka.,Y hubo que operar de emergencia.,Eso es lo que voy a hacer.
2026,"Ari mashi, imapitak yanapasha?","Sí, señora, ¿en qué puedo ayudarla?","S, seora, qué dices?"
2026,Sumak kawsay uyachik antamantaka shuk uyachik antamanmi kallpashpa rirka.,"De la radio Buen Vivir fueron derechitos a la otra radio del pueblo, la comercial.",Eso es una emisora de trabajo en las escuelas del mundo.
2026,Chaykunawan hampirishpa alli tukushkanchik.,Con eso nos hemos ido aliviando.,Esos amigos están en el ro.
2026,"Wichashpa sakishpaka, imatatak tarishun?","Si la meto en cana, ¿qué ganamos con eso?",Y qué es lo que hay?
2026,Chay maymantachari wamprakuna mañawarka.,Me obligaron esos jóvenes que ni sé de dónde son.,Y esos wampas están trabajando.
2026,"Imamantatak kapanyari, alcaldesa?","¿Cuál, alcaldesa?","Qué pasa, alcaldesa?"
2026,Trescientos mil millones dólares kullkikuna watapi yaykun.,"En número redondos, trescientos mil millones de dólares al año.",Los trescientos mil millones de dólares se han vendido en el pas.
2026,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
2026,"Shinami, kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun, yanapayta mañankapak.","Y ahí van, saltando charcos, entrando en la alcaldía para solicitar ayuda en medio de tanta inundación.","Pero, como el agua se llama la alcalda y la gente sabe, no tenemos ninguna oportunidad."
2026,Kunanka kay kirumanta urmashkapash.,"Y ahora, éste que se cayó de la mata.",Y eso se acaba de entrar.
2026,Shina alli kashkamanta tayta Dioska achkata tikrachinkami.,Dios les premiará tanta generosidad.,Eso es lo que dice Dios.
2026,Kunanka productokuna puchunakun.,"Y ahora, hasta nos están sobrando productos.",En el Barrio del Proyecto.
2026,"Kikinka frecuenciata maskapay, ñukaka tantanakuymanta wamprakunawan rimakrini, uchalla kallarinkapak.","Usted, consíganos la frecuencia y yo voy a hablar con los jóvenes del club para ponernos las pilas.","Y el frecuencito, como yo dicen, estoy trabajando con las wampas de la escuela."
2026,Ñuka mana chay fantasíakunapi krinichu.,Yo no creo en esas fantasías,Yo no sé esos fantasas.
2026,Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna.,Las bandas criminales son hoy más fuertes que nunca y controlan países enteros.,"En el Barrio del Japón, una banda de criminales y a los nios que han venido en la escuela de las maanas."
2026,"Ari, yupaychani.","Sí, gracias.","S, seora."
2026,Sexualidadmanta yachachikka ayllukunapa responsabilidadmi kana.,La educación sexual es responsabilidad exclusiva de las familias.,La responsabilidad de la sexualidad es que la gente está responsabilida.
2026,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
2026,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
2026,"Imashinatak kay gobierno hampikkunapak, yachaykunapak kullkita anchuchikrin, programa socialkunata anchuchikrin, preciokunata hawaman churakrin, salariokunatapash urayachikrin, tukuykunata llamkay illak sakirikrin, jubiladokunapak pensiónkunata ashayachikrin, llamkaykunata llukshichikrin, tukuyta privatizakrin?","¿Cómo crees que gobierno puede recortar el presupuesto de salud y el de educación, quitar programas sociales, subir los precios y bajar los salarios, desemplear a medio mundo, bajar las pensiones de los jubilados, exprimir como limones a los trabajadores, privatizarlo todo?","En el gobierno, en las escuelas de la empresa, la programa social, los precios y los salarios, lo que tienen a los jubilado son pensións."
2026,Chaytaka rikukrinkichikmi.,Prepáranse.,Eso es lo que voy a hacer.
2026,Shuk carta ashtawan llakichishun nishpa chayamushka.,Llegó una segunda carta más amenazante que la primera.,Eso es una carta en la escuela.
2026,Municipio ukumanta hampikunamanta willachinkapakka kay uyachik anta ukuman shamupaychiklla.,La radio Buen Vivir se pone al servicio de la salud de todo el municipio.,"En el municipio, las emisoras se han ayudado en la escuela."
2026,Imamantatak kay coronavirus nishkaka tiyan yankichikta?,"¿No vieron el bicho éste, el coronavirus?",Y qué es lo que dice la coronavirus?
2026,Yuyankapak churawashkanki.,Me ha puesto a pensar.,Eso es una buena vida.
2026,"Patentes, transgénicos wakllichiykuna",Entre patentes y transgénicos,"Patentes, transgénicos wakllichi"
2026,Mana entendenichu.,No le entiendo.,No entenden.
2026,Kanka allipacha!,¡Eres muy bien!,S!
2026,"Yarkaymanta wipala, kasi kawsaymanta wipala.","Banderas de hambre, banderas de paz.","Gracias a tus amigos, la gente y el mundo."
