seed,input_kichwa,referencia_es,prediccion_es
42,"Allika yanapariykuna, mushuk proyectokunata llukchinkapak yuyaykuna, tantanakushpa llamkaykuna.","Lo mejor: la solidaridad, la imaginación para emprender proyectos nuevos, negocios cooperativos.","En todo el pas, en todas las proyecciones, la gente tiene la oportunidad de ayudar."
42,Waktashkakunata rikuchiway.,Enseñe los golpes.,La gente está en el ro.
42,"Yuyariychik, ima shinatak waminsi wasipika yallishkata.",Acuérdense de lo que pasó en la casa rosada.,"Y yo sabemos, qué es lo que está haciendo?"
42,"Allita nishpaka, ñukanchik tukuchikrinakunchik.",Di mejor: lo vamos a acabar.,"Por eso, tenemos que hacer nuestros trabajos."
42,Paywanmi kay alcaldíataka mishakrinchik ninmi.,"Con él ganamos la Alcaldía, así dicen.",En el Barrio del Alcalda.
42,"Ari, chaytami rurakrini.","Sí, eso voy a hacer.","Seora, estoy haciendo eso."
42,Ñukaka ima mapa llamkaykunapi kankita yachanimi.,Yo sé en la porquería en que andas metido.,Yo no sé cómo estoy en el pas.
42,Kikinkunaka Pablopa nikushkakunata katipaychik.,Usted siga a San Pablo.,Si ustedes están en el Barrio del Pablo.
42,"Pandemiatapash yalli, tayta Dios ninanta tamyata kachamushkatapash yallimi.","Una emergencia más peligrosa que la pandemia, peor que la inundación que Dios nos envió en estos días.","En la pandemia, en el mundo de Dios."
42,Nima kullkitapish na hapinakunchik.,Sin cobrar nada.,No sabemos ninguno en la escuela.
42,"Chay shukpa rinki, chay shukpa.",En otra te toca.,Cómo se llama el ro?
42,"Chawpi kikinpa, chawpi ñukanchikpa.","Mitad para usted, mitad para nosotros.",Eso es lo que voy a hacer.
42,"Alcaldesa Magdalena Ayalapash imashamanta paykunawan kashkataka mana yuyaypi hapirkachu, ñapash mana alli rimaykuna kallarirka.","No pueden creer que la alcaldesa Magdalena Ayala se haya sumado a este grupo de cabezas calientes, como ellos nos tildan.","La Alcaldesa Magdalena Ayala no tiene ningn trabajo en el pas, pero no se han tenido nada."
42,"Ña yachanchikmi, maypipash tiyanmi mana ñukanchikta crikkuna.","Como sabe, siempre hay algunos desconfiados.","No sabemos, pero nuestras cricotas no tienen ninguna edad."
42,Ñukanchikpa kullkitachu mana munankichik?,¿No quieren nuestro dinero?,Cómo no sabemos a nuestros amigos?
42,Shuk kalluka rurashallami ninkapak.,Una para prometer.,Eso es lo que voy a hacer.
42,"Eh, mejor tukuy Matria Libre partidomantakunami chayamurkakuna.","Bueno, todo el grupo del partido Matria Libre.","Eh, mejor es que las partidas Matria Libre se han hecho."
42,"Kay pandemia pachakunapi, mikunakunata charina, tarpuna ninan mutsurishkami.","En estos tiempos de pandemia, la seguridad alimentaria es fundamental.","Estas pandemias, las mujeres y el mundo, tienen que ayudarse."
42,"Hacienda allpakunata charikkunaman yuyachini, manarak españolkuna shamukpika kay allpakunapika tawka runakunami kawsarkanchik, mana chushakllachu karka.","A esos nariz alzada les vamos a recordar que cuando los españoles llegaron, estas tierras no estaban vacías, tenían gente, tenían dueño.","Hacienda es una ciudad de la escuela, pero no tienen nias espaolas en todas las ciudades del árbol."
42,Contactokunata charini.,Tengo los contactos.,Las contactos tienen.
42,"Hakuchik, ñukawan, hakuchik.","Vamos conmigo, vamos.","S, yo sé, sirven."
42,Imatak nikunki?,¿Cómo dice?,Qué dices?
42,Yakukuna urayakushpa rishkami.,Las aguas han ido bajando.,La gente está en el ro.
42,"Tukuykunapa kashka covid pruebakunata shuwashpa, katushka nishpami huchachikrinchik.",De sustraer y vender pruebas covid que son un bien público.,"En el Barrio del Pueblo, las pruebas de covid se han encuentrado a la gente."
42,Ñukanchik ayllu llaktapi shuk tapuykunata rurarkanchik.,"Le cuento que hicimos una consulta, un concurso entre los vecinos y vecinas.","En nuestras escuelas, tenemos que hacer esos taputos."
42,mapatak radiota charinki yari?,¿para qué tienes la radio?,Cuál es la radio?
42,Maypitak nirka?,¿Dónde lo dijo?,Qué dices?
42,"Ñuka shuklla churi payka, mana mamataka riksiy usharkachu.","Él es mi único hijo, que no pudo conocer a su madre.",Y yo no tengo nias en el ro.
42,Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
42,Llamkana pankata mana charishpaka yankalla uyachik antami kanka.,Pero si no tiene licencia es una radio pirata.,Pero eso no sabemos que la gente está en agua.
42,Ama wakchalla kankapakmi vacunata munani.,Yo quiero vacunarme contra la soledad.,No hay vacunas en el pas.
42,"Willani, kaynani puncha wasiman rikushpa, chawpi punchapi mercado esquinapika chayta yallikukpika shina niwarka.","Les cuento que el otro día, camino a mi casa, a media mañana, pasé por la esquina del mercado.","Y ahora, en ese momento, la mercado está trabajando como una buena comida."
42,Kutinbash kutinbash waktay tukushka kanchik.,"Tras cuernos, palos.",Eso es lo que sabemos.
42,Pandemia tiyashka pachakunapika chay kullkiwan kawsayta ushanchik mari..,Durante toda la pandemia podemos vivir con eso dinero.,La pandemia está en el árbol de la escuela.
42,Ñuka razonta charinkapakka mana munanichu.,Yo no quiero tener razón.,Mi razona no tiene nada.
42,Chaytachu kankunaka munankichik.,Eso pretenden ustedes.,Eso es lo que voy a hacer.
42,Llamkashpallami suerteta charinchik.,El trabajo es lo que da la suerte.,En el Barrio del Pueblo hay suerte.
42,Chaymantami utka llukchina rikurirka.,Y hubo que operar de emergencia.,Eso es lo que voy a hacer.
42,"Ari mashi, imapitak yanapasha?","Sí, señora, ¿en qué puedo ayudarla?",Qué dices?
42,Sumak kawsay uyachik antamantaka shuk uyachik antamanmi kallpashpa rirka.,"De la radio Buen Vivir fueron derechitos a la otra radio del pueblo, la comercial.",Eso es lo que tenemos que hacer en la escuela.
42,Chaykunawan hampirishpa alli tukushkanchik.,Con eso nos hemos ido aliviando.,Estos amigos están en el Barrio del Sol.
42,"Wichashpa sakishpaka, imatatak tarishun?","Si la meto en cana, ¿qué ganamos con eso?","Cómo se llama, seora?"
42,Chay maymantachari wamprakuna mañawarka.,Me obligaron esos jóvenes que ni sé de dónde son.,Y esas wampuras son muy grandes.
42,"Imamantatak kapanyari, alcaldesa?","¿Cuál, alcaldesa?","Qué dices, alcaldesa?"
42,Trescientos mil millones dólares kullkikuna watapi yaykun.,"En número redondos, trescientos mil millones de dólares al año.",Los trescientos mil millones de dólares están en el pas.
42,Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
42,"Shinami, kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun, yanapayta mañankapak.","Y ahí van, saltando charcos, entrando en la alcaldía para solicitar ayuda en medio de tanta inundación.","Pero, en el Barrio del Alcalda, la gente tiene una tasa de agua."
42,Kunanka kay kirumanta urmashkapash.,"Y ahora, éste que se cayó de la mata.",En el Barrio del Nio.
42,Shina alli kashkamanta tayta Dioska achkata tikrachinkami.,Dios les premiará tanta generosidad.,Pero eso no sabe que Dios está trabajando.
42,Kunanka productokuna puchunakun.,"Y ahora, hasta nos están sobrando productos.",En el Barrio del Proyecto.
42,"Kikinka frecuenciata maskapay, ñukaka tantanakuymanta wamprakunawan rimakrini, uchalla kallarinkapak.","Usted, consíganos la frecuencia y yo voy a hablar con los jóvenes del club para ponernos las pilas.","Mi frecuencito es que yo sabemos que las wampas están trabajando, pero estoy en la escuela."
42,Ñuka mana chay fantasíakunapi krinichu.,Yo no creo en esas fantasías,Yo no tengo esa fantasa.
42,Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna.,Las bandas criminales son hoy más fuertes que nunca y controlan países enteros.,"En el Barrio del Japón, las nias criminales se han llegado a la gente y en la salud de los mamás."
42,"Ari, yupaychani.","Sí, gracias.","S, s."
42,Sexualidadmanta yachachikka ayllukunapa responsabilidadmi kana.,La educación sexual es responsabilidad exclusiva de las familias.,La sexualidad es la responsabilida de la gente.
42,Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
42,Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
42,"Imashinatak kay gobierno hampikkunapak, yachaykunapak kullkita anchuchikrin, programa socialkunata anchuchikrin, preciokunata hawaman churakrin, salariokunatapash urayachikrin, tukuykunata llamkay illak sakirikrin, jubiladokunapak pensiónkunata ashayachikrin, llamkaykunata llukshichikrin, tukuyta privatizakrin?","¿Cómo crees que gobierno puede recortar el presupuesto de salud y el de educación, quitar programas sociales, subir los precios y bajar los salarios, desemplear a medio mundo, bajar las pensiones de los jubilados, exprimir como limones a los trabajadores, privatizarlo todo?","En el Barrio del Gobierno, los jubilados tienen pensión en las comunidades sociales, la precio está haciendo y la salud están a través de trabajos salariarios, "
42,Chaytaka rikukrinkichikmi.,Prepáranse.,Eso es lo que voy a hacer.
42,Shuk carta ashtawan llakichishun nishpa chayamushka.,Llegó una segunda carta más amenazante que la primera.,Esa carta es una de las emisoras.
42,Municipio ukumanta hampikunamanta willachinkapakka kay uyachik anta ukuman shamupaychiklla.,La radio Buen Vivir se pone al servicio de la salud de todo el municipio.,"En el Municipio, las emisoras se han enfrentado a los nios de la escuela."
42,Imamantatak kay coronavirus nishkaka tiyan yankichikta?,"¿No vieron el bicho éste, el coronavirus?",Cuál es la coronavirus?
42,Yuyankapak churawashkanki.,Me ha puesto a pensar.,Eso es una prueba.
42,"Patentes, transgénicos wakllichiykuna",Entre patentes y transgénicos,"Patentes, transgénicos"
42,Mana entendenichu.,No le entiendo.,No entenden.
42,Kanka allipacha!,¡Eres muy bien!,Cómo eso!
42,"Yarkaymanta wipala, kasi kawsaymanta wipala.","Banderas de hambre, banderas de paz.","Eso es lo que sabemos, olvidamos a la gente."
