input_kichwa,referencia_es,prediccion_es
"Chawpi kikinpa, chawpi ñukanchikpa.","Mitad para usted, mitad para nosotros.",Eso es lo que voy a hacer.
"Alcaldesa Magdalena Ayalapash imashamanta paykunawan kashkataka mana yuyaypi hapirkachu, ñapash mana alli rimaykuna kallarirka.","No pueden creer que la alcaldesa Magdalena Ayala se haya sumado a este grupo de cabezas calientes, como ellos nos tildan.","La Alcaldesa Magdalena Ayalapa no tiene ninguna ayuda, pero no se han tenido nada."
"Ña yachanchikmi, maypipash tiyanmi mana ñukanchikta crikkuna.","Como sabe, siempre hay algunos desconfiados.","Y yo sabemos, pero no tenemos crecimientos."
Ñukanchikpa kullkitachu mana munankichik?,¿No quieren nuestro dinero?,Cómo no sabemos eso?
Shuk kalluka rurashallami ninkapak.,Una para prometer.,Eso es lo que llamamos.
"Eh, mejor tukuy Matria Libre partidomantakunami chayamurkakuna.","Bueno, todo el grupo del partido Matria Libre.","Eh, mejor que las partidas de Matria Libre."
"Kay pandemia pachakunapi, mikunakunata charina, tarpuna ninan mutsurishkami.","En estos tiempos de pandemia, la seguridad alimentaria es fundamental.","En ese pandemia, en las nias, la gente tiene que ayudarle."
"Hacienda allpakunata charikkunaman yuyachini, manarak españolkuna shamukpika kay allpakunapika tawka runakunami kawsarkanchik, mana chushakllachu karka.","A esos nariz alzada les vamos a recordar que cuando los españoles llegaron, estas tierras no estaban vacías, tenían gente, tenían dueño.","Hacienda es una ciudad de las escuelas, y no tienen ningn trabajo en los espaoles."
Contactokunata charini.,Tengo los contactos.,Esas contactos tienen.
"Hakuchik, ñukawan, hakuchik.","Vamos conmigo, vamos.","Gracias, seora, está bien."
Imatak nikunki?,¿Cómo dice?,Qué dices?
Yakukuna urayakushpa rishkami.,Las aguas han ido bajando.,Eso es lo que llamamos.
"Tukuykunapa kashka covid pruebakunata shuwashpa, katushka nishpami huchachikrinchik.",De sustraer y vender pruebas covid que son un bien público.,"En el Barrio del Pueblo, las pruebas de covid se encuentran a través de todos los das."
Ñukanchik ayllu llaktapi shuk tapuykunata rurarkanchik.,"Le cuento que hicimos una consulta, un concurso entre los vecinos y vecinas.","En el Barrio del Pueblo, la gente está ayudando las cosas."
mapatak radiota charinki yari?,¿para qué tienes la radio?,Cuál es la radio?
Maypitak nirka?,¿Dónde lo dijo?,Qué dices?
"Ñuka shuklla churi payka, mana mamataka riksiy usharkachu.","Él es mi único hijo, que no pudo conocer a su madre.",Y yo no tengo ninguna pelcula.
Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
Llamkana pankata mana charishpaka yankalla uyachik antami kanka.,Pero si no tiene licencia es una radio pirata.,Y eso no sabemos ninguna otra vez.
Ama wakchalla kankapakmi vacunata munani.,Yo quiero vacunarme contra la soledad.,No tenemos vacunas para nios.
"Willani, kaynani puncha wasiman rikushpa, chawpi punchapi mercado esquinapika chayta yallikukpika shina niwarka.","Les cuento que el otro día, camino a mi casa, a media mañana, pasé por la esquina del mercado.",Y yo sabemos que el mercado está trabajando para llegar a las escuelas.
Kutinbash kutinbash waktay tukushka kanchik.,"Tras cuernos, palos.",Eso es lo que tiene que hacer.
Pandemia tiyashka pachakunapika chay kullkiwan kawsayta ushanchik mari..,Durante toda la pandemia podemos vivir con eso dinero.,La pandemia está en el árbol de la escuela.
Ñuka razonta charinkapakka mana munanichu.,Yo no quiero tener razón.,Y yo no tengo razona.
Chaytachu kankunaka munankichik.,Eso pretenden ustedes.,Eso es lo que voy a hacer.
Llamkashpallami suerteta charinchik.,El trabajo es lo que da la suerte.,En el Barrio del Pueblo.
Chaymantami utka llukchina rikurirka.,Y hubo que operar de emergencia.,Eso es lo que acabamos de hacer.
"Ari mashi, imapitak yanapasha?","Sí, señora, ¿en qué puedo ayudarla?",Cómo se llama?
Sumak kawsay uyachik antamantaka shuk uyachik antamanmi kallpashpa rirka.,"De la radio Buen Vivir fueron derechitos a la otra radio del pueblo, la comercial.",Pero eso no sabemos que tenemos ninguna agua.
Chaykunawan hampirishpa alli tukushkanchik.,Con eso nos hemos ido aliviando.,La gente está en ese pas.
"Wichashpa sakishpaka, imatatak tarishun?","Si la meto en cana, ¿qué ganamos con eso?",Cómo se llama?
Chay maymantachari wamprakuna mañawarka.,Me obligaron esos jóvenes que ni sé de dónde son.,Y esos wamprakas están en la escuela.
"Imamantatak kapanyari, alcaldesa?","¿Cuál, alcaldesa?","Qué pasa, alcaldesa?"
Trescientos mil millones dólares kullkikuna watapi yaykun.,"En número redondos, trescientos mil millones de dólares al año.",Tenemos trescientos mil millones de dólares.
Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
"Shinami, kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun, yanapayta mañankapak.","Y ahí van, saltando charcos, entrando en la alcaldía para solicitar ayuda en medio de tanta inundación.","Pero, como eso se llama la alcalda, la gente tiene que ayudarle."
Kunanka kay kirumanta urmashkapash.,"Y ahora, éste que se cayó de la mata.",Y eso se acaba de llevar.
Shina alli kashkamanta tayta Dioska achkata tikrachinkami.,Dios les premiará tanta generosidad.,Eso es lo que Dios está haciendo.
Kunanka productokuna puchunakun.,"Y ahora, hasta nos están sobrando productos.",Y los productos están en el árbol.
"Kikinka frecuenciata maskapay, ñukaka tantanakuymanta wamprakunawan rimakrini, uchalla kallarinkapak.","Usted, consíganos la frecuencia y yo voy a hablar con los jóvenes del club para ponernos las pilas.","Seor frecuencito, ese da de acuerdo con las wamprakas, se encuentra."
Ñuka mana chay fantasíakunapi krinichu.,Yo no creo en esas fantasías,No sé como fantasas.
Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna.,Las bandas criminales son hoy más fuertes que nunca y controlan países enteros.,"En el Barrio del Japón, una banda de criminales se encuentra a través de las maanas y los nios."
"Ari, yupaychani.","Sí, gracias.","S, seora."
Sexualidadmanta yachachikka ayllukunapa responsabilidadmi kana.,La educación sexual es responsabilidad exclusiva de las familias.,Eso es la responsabilidad de la sexualidad.
Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
"Imashinatak kay gobierno hampikkunapak, yachaykunapak kullkita anchuchikrin, programa socialkunata anchuchikrin, preciokunata hawaman churakrin, salariokunatapash urayachikrin, tukuykunata llamkay illak sakirikrin, jubiladokunapak pensiónkunata ashayachikrin, llamkaykunata llukshichikrin, tukuyta privatizakrin?","¿Cómo crees que gobierno puede recortar el presupuesto de salud y el de educación, quitar programas sociales, subir los precios y bajar los salarios, desemplear a medio mundo, bajar las pensiones de los jubilados, exprimir como limones a los trabajadores, privatizarlo todo?","Qué tienen el gobierno y los hampinos, los programas sociales, las precios están a través de trabajo, en la escuela de salario, que han llegado al jubilaro"
Chaytaka rikukrinkichikmi.,Prepáranse.,Eso es lo que voy a hacer.
Shuk carta ashtawan llakichishun nishpa chayamushka.,Llegó una segunda carta más amenazante que la primera.,Eso es una carta de agua.
Municipio ukumanta hampikunamanta willachinkapakka kay uyachik anta ukuman shamupaychiklla.,La radio Buen Vivir se pone al servicio de la salud de todo el municipio.,En el municipio hay que ayudarse en las escuelas de la ciudad.
Imamantatak kay coronavirus nishkaka tiyan yankichikta?,"¿No vieron el bicho éste, el coronavirus?",Y qué es la coronavirus?
Yuyankapak churawashkanki.,Me ha puesto a pensar.,Eso es una buena cosa.
"Patentes, transgénicos wakllichiykuna",Entre patentes y transgénicos,"Patentes, transgénicos"
Mana entendenichu.,No le entiendo.,No entenden.
Kanka allipacha!,¡Eres muy bien!,Cómo estás?
"Yarkaymanta wipala, kasi kawsaymanta wipala.","Banderas de hambre, banderas de paz.","Eso es lo que llamamos, yo también lo hacen."
